"prod_id","product_id","product_name","segment","category","subcategory","unit_price"
75,OFF-PA-10004983,Xerox 23,Corporate,Office Supplies,Paper,6.4800
76,TEC-CO-10003763,Canon PC1060 Personal Laser Copier,Corporate,Technology,Copiers,699.9900
77,OFF-BI-10001107,"GBC White Gloss Covers, Plain Front",Home Office,Office Supplies,Binders,14.4800
78,FUR-CH-10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Consumer,Furniture,Chairs,160.9800
79,OFF-AR-10003732,Newell 333,Corporate,Office Supplies,Art,2.7800
80,OFF-AP-10000891,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Consumer,Office Supplies,Appliances,131.1200
81,OFF-EN-10003040,Quality Park Security Envelopes,Corporate,Office Supplies,Envelopes,26.1700
82,OFF-PA-10004948,Xerox 190,Consumer,Office Supplies,Paper,4.9800
83,FUR-FU-10001196,DAX Cubicle Frames - 8x10,Corporate,Furniture,Furnishings,5.7700
84,TEC-AC-10000109,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Consumer,Technology,Accessories,55.9900
85,TEC-AC-10003289,Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,Consumer,Technology,Accessories,19.9900
86,FUR-BO-10001798,Bush Somerset Collection Bookcase,Consumer,Furniture,Bookcases,130.9800
87,OFF-BI-10003925,Fellowes PB300 Plastic Comb Binding Machine,Consumer,Office Supplies,Binders,387.9900
88,OFF-PA-10002377,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",Corporate,Office Supplies,Paper,5.6800
89,OFF-AR-10002240,Panasonic KP-150 Electric Pencil Sharpener,Home Office,Office Supplies,Art,37.7400
90,OFF-ST-10000036,"Recycled Data-Pak for Archival Bound Computer Printouts, 12-1/2 x 12-1/2 x 16",Corporate,Office Supplies,Storage,98.7900
91,TEC-PH-10004241,Nokia Lumia 1020,Consumer,Technology,Phones,449.9900
92,FUR-CH-10004626,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Home Office,Furniture,Chairs,100.8900
93,TEC-MA-10003246,Hewlett-Packard Deskjet D4360 Printer,Consumer,Technology,Machines,139.9900
94,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",Corporate,Office Supplies,Storage,13.4800
95,OFF-BI-10000829,Avery Non-Stick Binders,Home Office,Office Supplies,Binders,4.4900
96,OFF-SU-10001225,Staple remover,Corporate,Office Supplies,Supplies,3.6800
97,OFF-LA-10002195,Avery 481,Consumer,Office Supplies,Labels,3.0800
98,TEC-AC-10002370,Maxell CD-R Discs,Corporate,Technology,Accessories,1.9700
99,OFF-BI-10000773,Insertable Tab Post Binder Dividers,Corporate,Office Supplies,Binders,8.0200
100,FUR-FU-10000820,Tensor Brushed Steel Torchiere Floor Lamp,Home Office,Furniture,Furnishings,16.9900
101,OFF-PA-10002245,Xerox 1895,Corporate,Office Supplies,Paper,5.9800
102,FUR-CH-10004626,Office Star Flex Back Scooter Chair with Aluminum Finish Frame,Corporate,Furniture,Chairs,100.8900
103,TEC-PH-10002075,AT&T EL51110 DECT,Consumer,Technology,Phones,125.9900
104,OFF-PA-10003302,Xerox 1906,Corporate,Office Supplies,Paper,35.4400
105,TEC-PH-10001061,Apple iPhone 5C,Home Office,Technology,Phones,99.9900
106,OFF-EN-10001453,"Tyvek Interoffice Envelopes, 9 1/2"" x 12 1/2"", 100/Box",Consumer,Office Supplies,Envelopes,60.9800
107,FUR-FU-10001979,Dana Halogen Swing-Arm Architect Lamp,Home Office,Furniture,Furnishings,40.9700
108,OFF-AR-10004602,Boston KS Multi-Size Manual Pencil Sharpener,Consumer,Office Supplies,Art,22.9900
109,FUR-BO-10003159,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Consumer,Furniture,Bookcases,114.9800
110,FUR-CH-10004983,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Corporate,Furniture,Chairs,160.9800
111,OFF-PA-10001461,HP Office Paper (20Lb. and 87 Bright),Corporate,Office Supplies,Paper,6.6800
112,TEC-MA-10001148,Okidata MB491 Multifunction Printer,Corporate,Technology,Machines,499.0000
113,OFF-AP-10001563,Belkin Premiere Surge Master II 8-outlet surge protector,Consumer,Office Supplies,Appliances,48.5800
114,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Home Office,Office Supplies,Labels,7.3100
115,OFF-ST-10002583,Fellowes Neat Ideas Storage Cubes,Corporate,Office Supplies,Storage,32.4800
116,OFF-ST-10001809,Fellowes Officeware Wire Shelving,Consumer,Office Supplies,Storage,89.8300
117,OFF-BI-10004965,Ibico Covers for Plastic or Wire Binding Elements,Consumer,Office Supplies,Binders,11.5000
118,OFF-FA-10000089,Acco Glide Clips,Consumer,Office Supplies,Fasteners,3.9200
119,TEC-PH-10002468,"Plantronics CS 50-USB - headset - Convertible, Monaural",Corporate,Technology,Phones,135.9900
120,OFF-AR-10001615,Newell 34,Consumer,Office Supplies,Art,19.8400
121,OFF-PA-10002333,"Universal Ultra Bright White Copier/Laser Paper, 8 1/2"" x 11"", Ream",Consumer,Office Supplies,Paper,6.4800
122,OFF-ST-10001228,Personal File Boxes with Fold-Down Carry Handle,Consumer,Office Supplies,Storage,15.5800
123,OFF-ST-10000615,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Corporate,Office Supplies,Storage,11.3500
124,OFF-SU-10004737,Acme Design Stainless Steel Bent Scissors,Corporate,Office Supplies,Supplies,6.8400
125,OFF-EN-10000483,"White Envelopes, White Envelopes with Clear Poly Window",Home Office,Office Supplies,Envelopes,15.2500
126,FUR-FU-10003553,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",Consumer,Furniture,Furnishings,68.7700
127,OFF-BI-10003727,Avery Durable Slant Ring Binders With Label Holder,Home Office,Office Supplies,Binders,4.1800
128,OFF-FA-10000254,Sterling Rubber Bands by Alliance,Consumer,Office Supplies,Fasteners,4.7100
129,OFF-AR-10003856,Newell 344,Corporate,Office Supplies,Art,2.7800
130,FUR-FU-10002885,Magna Visual Magnetic Picture Hangers,Home Office,Furniture,Furnishings,4.8200
131,OFF-AP-10001626,"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",Corporate,Office Supplies,Appliances,3.8900
132,FUR-FU-10001185,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Home Office,Furniture,Furnishings,30.9300
133,OFF-BI-10001628,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",Home Office,Office Supplies,Binders,10.4300
134,TEC-PH-10001619,LG G3,Home Office,Technology,Phones,195.9900
135,FUR-BO-10001337,O'Sullivan Living Dimensions 2-Shelf Bookcases,Corporate,Furniture,Bookcases,120.9800
136,OFF-PA-10002246,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",Consumer,Office Supplies,Paper,6.4500
137,TEC-AC-10003063,Micro Innovations USB RF Wireless Keyboard with Mouse,Corporate,Technology,Accessories,25.0000
138,OFF-BI-10004876,Wilson Jones Suede Grain Vinyl Binders,Corporate,Office Supplies,Binders,2.7800
139,OFF-AP-10000240,Belkin F9G930V10-GRY 9 Outlet Surge,Home Office,Office Supplies,Appliances,53.4800
140,FUR-FU-10002456,"Master Caster Door Stop, Large Neon Orange",Consumer,Furniture,Furnishings,7.2800
141,OFF-ST-10004950,"Tenex Personal Filing Tote With Secure Closure Lid, Black/Frost",Home Office,Office Supplies,Storage,15.5100
142,OFF-FA-10004854,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",Corporate,Office Supplies,Fasteners,11.4800
143,OFF-BI-10000145,Zipper Ring Binder Pockets,Corporate,Office Supplies,Binders,3.1200
144,OFF-AR-10002445,SANFORD Major Accent Highlighters,Home Office,Office Supplies,Art,7.0800
145,TEC-MA-10002981,I.R.I.S IRISCard Anywhere 5 Card Scanner,Home Office,Technology,Machines,129.9900
146,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",Corporate,Office Supplies,Storage,43.5700
147,OFF-PA-10001289,White Computer Printout Paper by Universal,Corporate,Office Supplies,Paper,38.7600
148,OFF-BI-10003719,Large Capacity Hanging Post Binders,Corporate,Office Supplies,Binders,24.9500
149,TEC-AC-10000487,SanDisk Cruzer 4 GB USB Flash Drive,Consumer,Technology,Accessories,6.4900
150,FUR-BO-10003894,"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Corporate,Furniture,Bookcases,70.9800
151,FUR-FU-10004270,"Eldon Image Series Desk Accessories, Burgundy",Home Office,Furniture,Furnishings,4.1800
152,TEC-AC-10001767,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Consumer,Technology,Accessories,39.9900
153,OFF-AP-10002684,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Corporate,Office Supplies,Appliances,121.5800
154,OFF-BI-10002931,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Corporate,Office Supplies,Binders,41.9400
155,FUR-TA-10001676,Hon 61000 Series Interactive Training Tables,Home Office,Furniture,Tables,44.4300
156,FUR-BO-10002598,"Hon Metal Bookcases, Putty",Corporate,Furniture,Bookcases,70.9800
157,FUR-CH-10000847,Global Executive Mid-Back Manager's Chair,Corporate,Furniture,Chairs,290.9800
158,OFF-BI-10000216,"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",Consumer,Office Supplies,Binders,12.9700
159,OFF-AR-10004582,BIC Brite Liner Grip Highlighters,Consumer,Office Supplies,Art,1.6400
160,TEC-AC-10001383,Logitech Wireless Touch Keyboard K400,Consumer,Technology,Accessories,24.9900
161,OFF-LA-10000262,Avery 494,Home Office,Office Supplies,Labels,2.6100
162,OFF-ST-10003442,Eldon Portable Mobile Manager,Corporate,Office Supplies,Storage,28.2800
163,OFF-LA-10004178,Avery 491,Consumer,Office Supplies,Labels,4.1300
164,FUR-FU-10003096,"Master Giant Foot Doorstop, Safety Yellow",Consumer,Furniture,Furnishings,7.5900
165,TEC-AC-10002253,Imation Bio 8GB USB Flash Drive Imation Corp,Corporate,Technology,Accessories,166.2400
166,OFF-BI-10002854,"Performers Binder/Pad Holder, Black",Consumer,Office Supplies,Binders,28.0300
167,OFF-FA-10001754,Stockwell Gold Paper Clips,Corporate,Office Supplies,Fasteners,1.8400
168,OFF-AR-10000411,Boston 16701 Slimline Battery Pencil Sharpener,Consumer,Office Supplies,Art,15.9400
169,FUR-TA-10001768,Hon Racetrack Conference Tables,Corporate,Furniture,Tables,262.5100
170,OFF-BI-10004519,GBC DocuBind P100 Manual Binding Machine,Consumer,Office Supplies,Binders,165.9800
171,TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Home Office,Technology,Accessories,22.1000
172,OFF-ST-10002554,Tennsco Industrial Shelving,Home Office,Office Supplies,Storage,48.9100
173,OFF-AP-10000595,Disposable Triple-Filter Dust Bags,Consumer,Office Supplies,Appliances,4.3700
174,OFF-PA-10000501,Petty Cash Envelope,Corporate,Office Supplies,Paper,26.9600
175,OFF-PA-10004248,Xerox 1990,Consumer,Office Supplies,Paper,5.2800
176,OFF-AP-10003971,Belkin 6 Outlet Metallic Surge Strip,Consumer,Office Supplies,Appliances,10.8900
177,OFF-ST-10001097,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Consumer,Office Supplies,Storage,167.2700
178,TEC-AC-10003832,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,Consumer,Technology,Accessories,33.1300
179,OFF-LA-10001158,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Consumer,Office Supplies,Labels,10.3500
180,OFF-AR-10003045,Prang Colored Pencils,Consumer,Office Supplies,Art,2.9400
181,FUR-FU-10002505,Eldon 100 Class Desk Accessories,Consumer,Furniture,Furnishings,3.3700
182,FUR-BO-10003441,"Bush Westfield Collection Bookcases, Fully Assembled",Consumer,Furniture,Bookcases,100.9800
183,OFF-FA-10004248,Advantus T-Pin Paper Clips,Corporate,Office Supplies,Fasteners,4.5100
184,OFF-BI-10004022,Acco Suede Grain Vinyl Round Ring Binder,Home Office,Office Supplies,Binders,2.7800
185,OFF-ST-10000464,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Consumer,Office Supplies,Storage,34.7600
186,FUR-CH-10002017,SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,Home Office,Furniture,Chairs,26.6400
187,FUR-FU-10003192,Luxo Adjustable Task Clamp Lamp,Corporate,Furniture,Furnishings,88.8400
188,FUR-FU-10004748,"Howard Miller 16"" Diameter Gallery Wall Clock",Consumer,Furniture,Furnishings,63.9400
189,OFF-BI-10001757,Pressboard Hanging Data Binders for Unburst Sheets,Corporate,Office Supplies,Binders,4.9200
190,OFF-AP-10000576,Belkin 7 Outlet SurgeMaster II,Home Office,Office Supplies,Appliances,39.4800
191,TEC-PH-10000193,Jensen SMPS-640 - speaker phone,Consumer,Technology,Phones,45.9800
192,TEC-PH-10003095,Samsung HM1900 Bluetooth Headset,Home Office,Technology,Phones,21.9500
193,TEC-MA-10004679,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,Corporate,Technology,Machines,332.9500
194,OFF-PA-10001509,"Recycled Desk Saver Line ""While You Were Out"" Book, 5 1/2"" X 4""",Corporate,Office Supplies,Paper,8.9500
195,OFF-BI-10000138,Acco Translucent Poly Ring Binders,Consumer,Office Supplies,Binders,4.6800
196,OFF-PA-10000100,Xerox 1945,Consumer,Office Supplies,Paper,40.9900
197,FUR-TA-10002041,"Bevis Round Conference Table Top, X-Base",Consumer,Furniture,Tables,179.2900
198,TEC-PH-10004924,"SKILCRAFT Telephone Shoulder Rest, 2"" x 6.5"" x 2.5"", Black",Consumer,Technology,Phones,7.3900
199,OFF-PA-10000232,Xerox 1975,Consumer,Office Supplies,Paper,6.4800
200,OFF-AR-10003179,Dixon Ticonderoga Core-Lock Colored Pencils,Consumer,Office Supplies,Art,9.1100
201,OFF-AR-10003217,Newell 316,Consumer,Office Supplies,Art,4.8900
202,TEC-PH-10001336,Digium D40 VoIP phone,Corporate,Technology,Phones,128.9900
203,OFF-AR-10002257,"Eldon Spacemaker Box, Quick-Snap Lid, Clear",Home Office,Office Supplies,Art,3.3400
204,FUR-FU-10000076,"24-Hour Round Wall Clock",Corporate,Furniture,Furnishings,19.9800
205,FUR-FU-10004952,"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",Corporate,Furniture,Furnishings,54.7400
206,OFF-SU-10000898,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Consumer,Office Supplies,Supplies,13.9000
207,TEC-AC-10004568,Maxell LTO Ultrium - 800 GB,Corporate,Technology,Accessories,27.9900
208,TEC-AC-10004353,Hypercom P1300 Pinpad,Consumer,Technology,Accessories,63.0000
209,OFF-BI-10002571,"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",Consumer,Office Supplies,Binders,9.9800
210,FUR-CH-10000595,Safco Contoured Stacking Chairs,Consumer,Furniture,Chairs,238.4000
211,TEC-PH-10004093,Panasonic Kx-TS550,Corporate,Technology,Phones,45.9900
212,OFF-ST-10000419,"Rogers Jumbo File, Granite",Corporate,Office Supplies,Storage,13.5800
213,OFF-AR-10001022,SANFORD Liquid Accent Tank-Style Highlighters,Corporate,Office Supplies,Art,2.8400
214,OFF-SU-10004782,"Elite 5"" Scissors",Corporate,Office Supplies,Supplies,8.4500
215,FUR-FU-10000672,"Executive Impressions 10"" Spectator Wall Clock",Corporate,Furniture,Furnishings,11.7600
216,OFF-BI-10002194,Cardinal Hold-It CD Pocket,Consumer,Office Supplies,Binders,7.9800
217,TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,Consumer,Technology,Copiers,599.9900
218,OFF-LA-10002945,"Permanent Self-Adhesive File Folder Labels for Typewriters, 1 1/8 x 3 1/2, White",Corporate,Office Supplies,Labels,6.3000
219,TEC-AC-10001772,Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Home Office,Technology,Accessories,15.9700
220,FUR-FU-10004904,"Eldon ""L"" Workstation Diamond Chairmat",Consumer,Furniture,Furnishings,75.9800
221,OFF-PA-10000062,Green Bar Computer Printout Paper,Home Office,Office Supplies,Paper,54.9600
222,OFF-BI-10001097,Avery Hole Reinforcements,Home Office,Office Supplies,Binders,6.2300
223,TEC-AC-10002842,WD My Passport Ultra 2TB Portable External Hard Drive,Corporate,Technology,Accessories,119.0000
224,FUR-FU-10000723,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Consumer,Furniture,Furnishings,41.3200
225,FUR-CH-10003981,Global Commerce Series Low-Back Swivel/Tilt Chairs,Corporate,Furniture,Chairs,256.9800
226,FUR-FU-10000222,"Seth Thomas 16"" Steel Case Clock",Consumer,Furniture,Furnishings,32.4800
227,FUR-FU-10001867,"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",Home Office,Furniture,Furnishings,10.6400
228,OFF-AR-10004344,Bulldog Vacuum Base Pencil Sharpener,Home Office,Office Supplies,Art,11.9900
229,OFF-PA-10004243,Xerox 1939,Corporate,Office Supplies,Paper,18.9700
230,OFF-PA-10001144,Xerox 1913,Home Office,Office Supplies,Paper,55.4800
231,OFF-PA-10003441,Xerox 226,Home Office,Office Supplies,Paper,6.4800
232,OFF-PA-10004381,"14-7/8 x 11 Blue Bar Computer Printout Paper",Corporate,Office Supplies,Paper,48.0400
233,TEC-PH-10002496,Cisco SPA301,Corporate,Technology,Phones,155.9900
234,OFF-AR-10003514,"4009 Highlighters by Sanford",Consumer,Office Supplies,Art,3.9800
235,OFF-AP-10004336,"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",Consumer,Office Supplies,Appliances,56.9600
236,TEC-AC-10000736,Logitech G600 MMO Gaming Mouse,Consumer,Technology,Accessories,79.9900
237,OFF-BI-10001196,"Avery Flip-Chart Easel Binder, Black",Consumer,Office Supplies,Binders,22.3800
238,OFF-BI-10001628,"Acco Data Flex Cable Posts For Top & Bottom Load Binders, 6"" Capacity",Corporate,Office Supplies,Binders,10.4300
239,FUR-TA-10003008,"Lesro Round Back Collection Coffee Table, End Table",Corporate,Furniture,Tables,182.5500
240,TEC-PH-10004345,Cisco SPA 502G IP Phone,Consumer,Technology,Phones,119.9500
241,OFF-LA-10001045,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,Corporate,Office Supplies,Labels,2.6100
242,OFF-BI-10003963,Cardinal Holdit Data Disk Pockets,Corporate,Office Supplies,Binders,7.2800
243,OFF-AP-10001469,Fellowes 8 Outlet Superior Workstation Surge Protector,Corporate,Office Supplies,Appliances,41.7100
244,OFF-ST-10003442,Eldon Portable Mobile Manager,Consumer,Office Supplies,Storage,28.2800
245,OFF-PA-10002586,Xerox 1970,Home Office,Office Supplies,Paper,4.9800
246,FUR-FU-10003577,Nu-Dell Leatherette Frames,Corporate,Furniture,Furnishings,14.3400
247,FUR-CH-10003535,"Global Armless Task Chair, Royal Blue",Corporate,Furniture,Chairs,60.9800
248,OFF-BI-10000773,Insertable Tab Post Binder Dividers,Consumer,Office Supplies,Binders,8.0200
249,FUR-CH-10002073,Hon Olson Stacker Chairs,Consumer,Furniture,Chairs,264.7800
250,FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Home Office,Furniture,Tables,550.9800
251,OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",Corporate,Office Supplies,Art,4.2600
